timestamp,joint_positions,joint_velocities,eef_position,eef_orientation,gripper_action,gripper_goal_state
1750851646.5297616,"0.0,0.0,0.0,-1.59695,0.0,2.5307,0.0",,"0.5626267,0.0070601795,0.48087224","0.99949306,-0.014770706,0.028083239,-0.0013947673",1.0,open
1750851646.5798006,"0.0,0.0,0.0,-1.59695,0.0,2.5307,0.0",,"0.5626291,0.0071035223,0.48084715","0.9994943,-0.014734442,0.02805797,-0.001397002",1.0,open
1750851646.6299286,"0.0,0.0,0.0,-1.59695,0.0,2.5307,0.0",,"0.5626264,0.0072273104,0.48084807","0.9994959,-0.01462672,0.02805728,-0.0014006172",1.0,open
1750851646.6800373,"0.0,0.0,0.0,-1.59695,0.0,2.5307,0.0",,"0.56262344,0.007445032,0.48083937","0.9994989,-0.014438065,0.028048873,-0.0014030552",1.0,open
1750851646.7297964,"0.0,0.0,0.0,-1.59695,0.0,2.5307,0.0",,"0.56260806,0.0076825344,0.48072764","0.9995052,-0.014221833,0.027933473,-0.0013985333",1.0,open
1750851646.7798436,"0.0,0.0,0.0,-1.59695,0.0,2.5307,0.0",,"0.56261647,0.007961097,0.48054838","0.9995135,-0.013975083,0.027760362,-0.001403761",1.0,open
1750851646.8299665,"0.0,0.0,0.0,-1.59695,0.0,2.5307,0.0",,"0.5626075,0.008487053,0.48057863","0.9995191,-0.013513293,0.027787434,-0.0014109083",1.0,open
1750851646.879866,"0.0,0.0,0.0,-1.59695,0.0,2.5307,0.0",,"0.5626029,0.009483995,0.4805381","0.99953145,-0.012632788,0.027758688,-0.0014123567",1.0,open
1750851646.930386,"0.0,0.0,0.0,-1.59695,0.0,2.5307,0.0",,"0.56265074,0.01112936,0.4802124","0.9995567,-0.01118264,0.027467165,-0.001432822",1.0,open
1750851646.980129,"0.0,0.0,0.0,-1.59695,0.0,2.5307,0.0",,"0.5626847,0.013673503,0.47966644","0.9995931,-0.008929596,0.026963288,-0.001453472",1.0,open
1750851647.0298173,"0.0,0.0,0.0,-1.59695,0.0,2.5307,0.0",,"0.5626546,0.01728778,0.47904727","0.9996314,-0.005759113,0.026396804,-0.0015175345",1.0,open
1750851647.0798316,"0.0,0.0,0.0,-1.59695,0.0,2.5307,0.0",,"0.562467,0.023281956,0.47827053","0.9996675,-0.0005132924,0.02563799,-0.0015493515",1.0,open
1750851647.130197,"0.0,0.0,0.0,-1.59695,0.0,2.5307,0.0",,"0.5619145,0.031874713,0.47778404","0.999657,0.0069977664,0.025095146,-0.0015457585",1.0,open
1750851647.1798446,"0.0,0.0,0.0,-1.59695,0.0,2.5307,0.0",,"0.5611609,0.042370565,0.47656047","0.9995774,0.016295606,0.023921948,-0.0015543798",1.0,open
1750851647.2297883,"0.0,0.0,0.0,-1.59695,0.0,2.5307,0.0",,"0.5599546,0.054519963,0.47398236","0.9994112,0.026646778,0.021445336,-0.0015525761",1.0,open
1750851647.279792,"0.0,0.0,0.0,-1.59695,0.0,2.5307,0.0",,"0.5581601,0.068237424,0.47073215","0.9992205,0.034866575,0.018316692,-0.0015607491",1.0,open
1750851647.330106,"0.0,0.0,0.0,-1.59695,0.0,2.5307,0.0",,"0.55544144,0.08320359,0.46653378","0.9991207,0.039358877,0.014202802,-0.0014711996",1.0,open
1750851647.3797872,"0.0,0.0,0.0,-1.59695,0.0,2.5307,0.0",,"0.5514402,0.099058464,0.46116337","0.9991527,0.04010885,0.008898124,-0.0010629131",1.0,open
1750851647.4299273,"0.0,0.0,0.0,-1.59695,0.0,2.5307,0.0",,"0.5459903,0.115301006,0.45394236","0.9993374,0.03628573,0.0018235123,-5.344507e-05",1.0,open
1750851647.4799201,"0.0,0.0,0.0,-1.59695,0.0,2.5307,0.0",,"0.5396718,0.13127938,0.44548875","0.99956393,0.028857427,-0.0056441207,0.0015917533",1.0,open
1750851647.529956,"0.0,0.0,0.0,-1.59695,0.0,2.5307,0.0",,"0.5329115,0.14623007,0.43569452","0.99969965,0.020189809,-0.013074364,0.004147983",1.0,open
1750851647.5799448,"0.0,0.0,0.0,-1.59695,0.0,2.5307,0.0",,"0.52597225,0.15992646,0.42505556","0.99968237,0.013230803,-0.02009903,0.0071619535",1.0,open
1750851647.6301186,"0.0,0.0,0.0,-1.59695,0.0,2.5307,0.0",,"0.5191389,0.1725983,0.41392192","0.9995795,0.008066539,-0.025897179,0.010012582",1.0,open
1750851647.6797962,"0.0,0.0,0.0,-1.59695,0.0,2.5307,0.0",,"0.5123979,0.18376522,0.40227255","0.99943167,0.005259449,-0.03035064,0.013515328",1.0,open
1750851647.7300503,"0.0,0.0,0.0,-1.59695,0.0,2.5307,0.0",,"0.5055183,0.19334367,0.39008862","0.9992636,0.003802175,-0.033925585,0.017381072",1.0,open
1750851647.7799644,"0.0,0.0,0.0,-1.59695,0.0,2.5307,0.0",,"0.49923095,0.20144221,0.37755808","0.9991496,0.0022895464,-0.035751205,0.020294031",1.0,open
